auction_name,recipe,num_of_agents,mean_optimal_count,mean_auction_count,count_ratio,mean_optimal_gft,mean_auction_gft,gft_ratio
McAfee,1:1,2,1.0,0.58,58.18,398.5,307.15,77.08
McAfee,1:1,3,1.51,1.08,71.96,644.28,568.48,88.24
McAfee,1:1,4,1.99,1.56,78.43,884.15,816.91,92.4
McAfee,1:1,5,2.5,2.05,82.14,1132.03,1071.06,94.61
McAfee,1:1,10,5.0,4.53,90.56,2381.99,2343.23,98.37
McAfee,1:1,15,7.51,7.03,93.55,3630.67,3602.36,99.22
McAfee,1:1,25,12.5,12.02,96.1,6125.29,6107.21,99.7
McAfee,1:1,50,25.02,24.53,98.0,12379.32,12369.68,99.92
McAfee,1:1,100,50.02,49.52,99.0,24856.35,24851.49,99.98
McAfee,1:1,500,250.07,249.57,99.8,124778.94,124777.95,100.0
McAfee,1:1,1000,500.05,499.55,99.89,249614.65,249614.15,100.0
SBB-Cmp,1:1,2,1.0,0.5,49.99,399.46,249.34,62.42
SBB-Cmp,1:1,3,1.5,1.0,66.73,639.97,498.42,77.88
SBB-Cmp,1:1,4,2.0,1.5,75.02,887.91,748.98,84.35
SBB-Cmp,1:1,5,2.5,2.01,80.19,1138.55,1003.04,88.1
SBB-Cmp,1:1,10,5.01,4.5,89.96,2382.06,2250.28,94.47
SBB-Cmp,1:1,15,7.49,6.99,93.29,3618.13,3488.84,96.43
SBB-Cmp,1:1,25,12.5,12.0,95.98,6119.43,5991.55,97.91
SBB-Cmp,1:1,50,25.0,24.5,98.0,12358.24,12232.36,98.98
SBB-Cmp,1:1,100,50.0,49.51,99.0,24849.73,24724.96,99.5
SBB-Cmp,1:1,500,250.05,249.55,99.8,124759.22,124634.19,99.9
SBB-Cmp,1:1,1000,500.02,499.51,99.89,249620.03,249494.29,99.95
SBB-Cmp,1:1:1,2,1.0,0.53,52.89,752.83,530.72,70.5
SBB-Cmp,1:1:1,3,1.5,1.02,68.17,1244.26,1026.9,82.53
SBB-Cmp,1:1:1,4,2.0,1.52,75.9,1726.74,1517.58,87.89
SBB-Cmp,1:1:1,5,2.5,2.01,80.39,2216.4,2008.71,90.63
SBB-Cmp,1:1:1,10,5.0,4.5,90.1,4703.19,4504.46,95.77
SBB-Cmp,1:1:1,15,7.5,7.0,93.37,7196.59,7002.05,97.3
SBB-Cmp,1:1:1,25,12.5,12.0,96.01,12171.45,11979.36,98.42
SBB-Cmp,1:1:1,50,24.99,24.49,98.0,24650.31,24461.24,99.23
SBB-Cmp,1:1:1,100,49.98,49.48,99.0,49626.43,49437.66,99.62
SBB-Cmp,1:1:1,500,249.85,249.35,99.79,249284.74,249097.35,99.92
SBB-Cmp,1:1:1,1000,499.78,499.29,99.9,498954.87,498769.65,99.96
SBB-Asc,1:1,2,1.0,0.5,49.78,401.33,249.62,62.2
SBB-Asc,1:1,3,1.5,1.0,66.63,641.35,498.49,77.72
SBB-Asc,1:1,4,2.0,1.5,74.95,887.5,748.05,84.29
SBB-Asc,1:1,5,2.5,2.0,79.95,1135.0,998.13,87.94
SBB-Asc,1:1,10,5.0,4.5,90.02,2380.25,2248.96,94.48
SBB-Asc,1:1,15,7.5,7.0,93.38,3626.21,3498.02,96.46
SBB-Asc,1:1,25,12.51,12.01,96.0,6130.36,6003.21,97.93
SBB-Asc,1:1,50,24.99,24.49,97.99,12354.51,12227.94,98.98
SBB-Asc,1:1,100,49.98,49.48,98.99,24845.29,24719.38,99.49
SBB-Asc,1:1,500,250.01,249.52,99.8,124759.77,124635.69,99.9
SBB-Asc,1:1,1000,500.03,499.53,99.9,249639.05,249515.32,99.95
SBB-Asc,1:1:1,2,1.0,0.53,52.93,754.48,531.46,70.44
SBB-Asc,1:1:1,3,1.5,1.02,67.81,1235.46,1017.2,82.33
SBB-Asc,1:1:1,4,2.0,1.52,75.75,1726.02,1514.12,87.72
SBB-Asc,1:1:1,5,2.5,2.01,80.47,2219.38,2011.8,90.65
SBB-Asc,1:1:1,10,5.0,4.5,90.13,4697.87,4500.2,95.79
SBB-Asc,1:1:1,15,7.5,7.01,93.39,7192.29,6997.79,97.3
SBB-Asc,1:1:1,25,12.5,12.0,96.05,12185.39,11994.42,98.43
SBB-Asc,1:1:1,50,25.0,24.5,98.0,24666.89,24476.97,99.23
SBB-Asc,1:1:1,100,50.01,49.51,99.0,49627.82,49440.14,99.62
SBB-Asc,1:1:1,500,249.95,249.45,99.8,249361.35,249174.09,99.92
SBB-Asc,1:1:1,1000,499.99,499.5,99.9,499178.89,498992.35,99.96
SBB-Asc,2:1,2,0.92,0.46,49.79,681.22,456.88,67.07
SBB-Asc,2:1,3,0.99,0.83,83.93,1003.92,828.96,82.57
SBB-Asc,2:1,4,1.68,1.23,72.95,1470.64,1227.57,83.47
SBB-Asc,2:1,5,1.9,1.62,85.28,1849.26,1622.64,87.75
SBB-Asc,2:1,10,4.02,3.62,89.98,3877.49,3617.43,93.29
SBB-Asc,2:1,15,6.01,5.61,93.42,5871.8,5606.44,95.48
SBB-Asc,2:1,25,10.02,9.62,96.03,9876.65,9605.76,97.26
SBB-Asc,2:1,50,20.02,19.62,97.99,19879.91,19602.15,98.6
SBB-Asc,2:1,100,40.03,39.63,99.0,39893.09,39616.52,99.31
SBB-Asc,2:1,500,200.11,199.71,99.8,199882.8,199603.01,99.86
SBB-Asc,2:1,1000,400.21,399.81,99.9,399889.32,399608.5,99.93
