auction_name,recipe,num_of_agents,mean_optimal_count,mean_auction_count,count_ratio,mean_optimal_gft,mean_auction_gft,gft_ratio
McAfee,1:1,2,1,0.58,58.18,398.5,307.15,77.08
McAfee,1:1,3,1.51,1.08,71.96,644.28,568.48,88.24
McAfee,1:1,4,1.99,1.56,78.43,884.15,816.91,92.4
McAfee,1:1,5,2.5,2.05,82.14,1132.03,1071.06,94.61
McAfee,1:1,10,5,4.53,90.56,2381.99,2343.23,98.37
McAfee,1:1,15,7.51,7.03,93.55,3630.67,3602.36,99.22
McAfee,1:1,25,12.5,12.02,96.1,6125.29,6107.21,99.7
McAfee,1:1,50,25.02,24.53,98,12379.32,12369.68,99.92
McAfee,1:1,100,50.02,49.52,99,24856.35,24851.49,99.98
McAfee,1:1,500,250.07,249.57,99.8,124778.94,124777.95,100
McAfee,1:1,1000,500.05,499.55,99.89,249614.65,249614.15,100
SBB External Competition,1:1,2,1,0.5,49.99,399.46,249.34,62.42
SBB External Competition,1:1,3,1.5,1,66.73,639.97,498.42,77.88
SBB External Competition,1:1,4,2,1.5,75.02,887.91,748.98,84.35
SBB External Competition,1:1,5,2.5,2.01,80.19,1138.55,1003.04,88.1
SBB External Competition,1:1,10,5.01,4.5,89.96,2382.06,2250.28,94.47
SBB External Competition,1:1,15,7.49,6.99,93.29,3618.13,3488.84,96.43
SBB External Competition,1:1,25,12.5,12,95.98,6119.43,5991.55,97.91
SBB External Competition,1:1,50,25,24.5,98,12358.24,12232.36,98.98
SBB External Competition,1:1,100,50,49.51,99,24849.73,24724.96,99.5
SBB External Competition,1:1,500,250.05,249.55,99.8,124759.22,124634.19,99.9
SBB External Competition,1:1,1000,500.02,499.51,99.89,249620.03,249494.29,99.95
SBB External Competition,1:1:1,2,1,0.53,52.89,752.83,530.72,70.5
SBB External Competition,1:1:1,3,1.5,1.02,68.17,1244.26,1026.9,82.53
SBB External Competition,1:1:1,4,2,1.52,75.9,1726.74,1517.58,87.89
SBB External Competition,1:1:1,5,2.5,2.01,80.39,2216.4,2008.71,90.63
SBB External Competition,1:1:1,10,5,4.5,90.1,4703.19,4504.46,95.77
SBB External Competition,1:1:1,15,7.5,7,93.37,7196.59,7002.05,97.3
SBB External Competition,1:1:1,25,12.5,12,96.01,12171.45,11979.36,98.42
SBB External Competition,1:1:1,50,24.99,24.49,98,24650.31,24461.24,99.23
SBB External Competition,1:1:1,100,49.98,49.48,99,49626.43,49437.66,99.62
SBB External Competition,1:1:1,500,249.85,249.35,99.79,249284.74,249097.35,99.92
SBB External Competition,1:1:1,1000,499.78,499.29,99.9,498954.87,498769.65,99.96
SBB Ascending Prices,1:1,2,1,0.5,49.78,401.33,249.62,62.2
SBB Ascending Prices,1:1,3,1.5,1,66.63,641.35,498.49,77.72
SBB Ascending Prices,1:1,4,2,1.5,74.95,887.5,748.05,84.29
SBB Ascending Prices,1:1,5,2.5,2,79.95,1135,998.13,87.94
SBB Ascending Prices,1:1,10,5,4.5,90.02,2380.25,2248.96,94.48
SBB Ascending Prices,1:1,15,7.5,7,93.38,3626.21,3498.02,96.46
SBB Ascending Prices,1:1,25,12.51,12.01,96,6130.36,6003.21,97.93
SBB Ascending Prices,1:1,50,24.99,24.49,97.99,12354.51,12227.94,98.98
SBB Ascending Prices,1:1,100,49.98,49.48,98.99,24845.29,24719.38,99.49
SBB Ascending Prices,1:1,500,250.01,249.52,99.8,124759.77,124635.69,99.9
SBB Ascending Prices,1:1,1000,500.03,499.53,99.9,249639.05,249515.32,99.95
SBB Ascending Prices,1:1:1,2,1,0.53,52.93,754.48,531.46,70.44
SBB Ascending Prices,1:1:1,3,1.5,1.02,67.81,1235.46,1017.2,82.33
SBB Ascending Prices,1:1:1,4,2,1.52,75.75,1726.02,1514.12,87.72
SBB Ascending Prices,1:1:1,5,2.5,2.01,80.47,2219.38,2011.8,90.65
SBB Ascending Prices,1:1:1,10,5,4.5,90.13,4697.87,4500.2,95.79
SBB Ascending Prices,1:1:1,15,7.5,7.01,93.39,7192.29,6997.79,97.3
SBB Ascending Prices,1:1:1,25,12.5,12,96.05,12185.39,11994.42,98.43
SBB Ascending Prices,1:1:1,50,25,24.5,98,24666.89,24476.97,99.23
SBB Ascending Prices,1:1:1,100,50.01,49.51,99,49627.82,49440.14,99.62
SBB Ascending Prices,1:1:1,500,249.95,249.45,99.8,249361.35,249174.09,99.92
SBB Ascending Prices,1:1:1,1000,499.99,499.5,99.9,499178.89,498992.35,99.96
SBB Ascending Prices,2:1,2,1.0,0.4,40.15,403.9,201.38,49.86
SBB Ascending Prices,2:1,3,1.5,0.9,59.69,653.18,446.56,68.37
SBB Ascending Prices,2:1,4,2.0,1.39,69.43,903.91,694.28,76.81
SBB Ascending Prices,2:1,5,2.5,1.88,75.39,1153.92,942.12,81.65
SBB Ascending Prices,2:1,10,5.01,4.38,87.57,2404.56,2189.28,91.05
SBB Ascending Prices,2:1,15,7.5,6.88,91.7,3652.67,3436.71,94.09
SBB Ascending Prices,2:1,25,12.51,11.89,95.03,6155.53,5938.31,96.47
SBB Ascending Prices,2:1,50,25.03,24.4,97.49,12409.25,12190.27,98.24
SBB Ascending Prices,2:1,100,50.02,49.4,98.75,24895.72,24677.12,99.12
SBB Ascending Prices,2:1,500,250.13,249.5,99.74,124828.95,124610.18,99.82
SBB Ascending Prices,2:1,1000,500.26,499.63,99.87,249786.36,249568.1,99.91
