auction_name,recipe,num_of_agents,mean_optimal_count,mean_auction_count,count_ratio,mean_optimal_gft,mean_auction_gft,gft_ratio
SBB Ascending Prices,1:2,2,1.0,0.6,59.78,800.01,595.55,74.44
SBB Ascending Prices,1:2,3,1.5,1.11,73.96,1307.53,1109.08,84.82
SBB Ascending Prices,1:2,4,2.0,1.61,80.51,1807.67,1611.78,89.16
SBB Ascending Prices,1:2,5,2.51,2.12,84.74,2313.46,2121.22,91.69
SBB Ascending Prices,1:2,10,5.0,4.62,92.45,4802.2,4613.67,96.07
SBB Ascending Prices,1:2,15,7.49,7.12,95.0,7298.25,7111.32,97.44
SBB Ascending Prices,1:2,25,12.5,12.13,97.01,12294.73,12108.39,98.48
SBB Ascending Prices,1:2,50,25.01,24.63,98.5,24787.99,24601.28,99.25
SBB Ascending Prices,1:2,100,49.98,49.6,99.24,49747.73,49560.51,99.62
SBB Ascending Prices,1:2,500,249.99,249.61,99.85,249571.53,249384.62,99.93
SBB Ascending Prices,1:2,1000,499.83,499.46,99.92,499143.61,498956.65,99.96
SBB Ascending Prices,1:4,2,1.0,0.67,66.6,1643.99,1332.22,81.04
SBB Ascending Prices,1:4,3,1.5,1.17,77.59,2656.48,2331.34,87.76
SBB Ascending Prices,1:4,4,1.99,1.67,83.67,3644.96,3327.17,91.28
SBB Ascending Prices,1:4,5,2.5,2.17,87.09,4655.5,4340.97,93.24
SBB Ascending Prices,1:4,10,5.0,4.68,93.63,9666.19,9351.74,96.75
SBB Ascending Prices,1:4,15,7.5,7.18,95.77,14660.94,14347.1,97.86
SBB Ascending Prices,1:4,25,12.49,12.17,97.47,24621.75,24308.3,98.73
SBB Ascending Prices,1:4,50,24.99,24.67,98.73,49621.57,49307.01,99.37
SBB Ascending Prices,1:4,100,49.98,49.67,99.37,99551.52,99240.74,99.69
SBB Ascending Prices,1:4,500,249.89,249.58,99.87,498921.0,498609.48,99.94
SBB Ascending Prices,1:4,1000,499.8,499.48,99.93,998181.56,997865.64,99.97
SBB Ascending Prices,1:8,2,1.0,0.7,70.54,3322.86,2807.94,84.5
SBB Ascending Prices,1:8,3,1.5,1.2,79.77,5373.8,4791.85,89.17
SBB Ascending Prices,1:8,4,2.0,1.7,85.07,7373.59,6799.54,92.21
SBB Ascending Prices,1:8,5,2.5,2.21,88.29,9385.82,8817.5,93.94
SBB Ascending Prices,1:8,10,5.0,4.71,94.22,19364.39,18796.81,97.07
SBB Ascending Prices,1:8,15,7.5,7.22,96.21,29398.13,28832.97,98.08
SBB Ascending Prices,1:8,25,12.49,12.21,97.7,49347.59,48779.7,98.85
SBB Ascending Prices,1:8,50,24.98,24.7,98.87,99306.24,98747.02,99.44
SBB Ascending Prices,1:8,100,49.97,49.69,99.43,199228.06,198667.9,99.72
SBB Ascending Prices,1:8,500,249.91,249.63,99.88,998218.44,997654.77,99.94
SBB Ascending Prices,1:8,1000,499.78,499.5,99.94,1996441.03,1995876.01,99.97
SBB Ascending Prices,1:16,2,1.0,0.72,72.52,6720.97,5780.88,86.01
SBB Ascending Prices,1:16,3,1.5,1.21,80.49,10796.96,9674.28,89.6
SBB Ascending Prices,1:16,4,2.0,1.72,85.96,14791.57,13717.19,92.74
SBB Ascending Prices,1:16,5,2.49,2.21,88.93,18781.61,17709.92,94.29
SBB Ascending Prices,1:16,10,5.0,4.73,94.59,38897.99,37836.35,97.27
SBB Ascending Prices,1:16,15,7.49,7.23,96.42,58864.75,57800.5,98.19
SBB Ascending Prices,1:16,25,12.49,12.22,97.84,98787.8,97719.6,98.92
SBB Ascending Prices,1:16,50,24.99,24.72,98.92,198693.2,197623.73,99.46
SBB Ascending Prices,1:16,100,49.97,49.7,99.46,398244.19,397175.55,99.73
SBB Ascending Prices,1:16,500,249.91,249.64,99.89,1996224.85,1995163.88,99.95
SBB Ascending Prices,1:16,1000,499.75,499.49,99.94,3992651.56,3991596.95,99.97
