n,k,abk,abgft,adk,adgft,ahk,ahgft,apk,apgft
2,1,0.6,74.44,0.67,81.04,0.7,84.5,0.72,86.01
3,1.5,1.11,84.82,1.17,87.76,1.2,89.17,1.21,89.6
4,2,1.61,89.16,1.67,91.28,1.7,92.21,1.72,92.74
5,2.51,2.12,91.69,2.17,93.24,2.21,93.94,2.21,94.29
10,5,4.62,96.07,4.68,96.75,4.71,97.07,4.73,97.27
15,7.49,7.12,97.44,7.18,97.86,7.22,98.08,7.23,98.19
25,12.5,12.13,98.48,12.17,98.73,12.21,98.85,12.22,98.92
50,25.01,24.63,99.25,24.67,99.37,24.7,99.44,24.72,99.46
100,49.98,49.6,99.62,49.67,99.69,49.69,99.72,49.7,99.73
500,249.99,249.61,99.93,249.58,99.94,249.63,99.94,249.64,99.95
1000,499.83,499.46,99.96,499.48,99.97,499.5,99.97,499.49,99.97
