iterations,auction_name,recipe,num_of_agents,mean_optimal_count,mean_auction_count,count_ratio,mean_optimal_gft,mean_auction_total_gft,total_gft_ratio,mean_auction_market_gft,market_gft_ratio
50000,SBB Ascending Prices,1:1:1,2,1.0,0.53,52.58,757.56,531.07,70.1,531.07,70.1
50000,SBB Ascending Prices,1:1:1,3,1.5,1.02,67.92,1237.61,1018.3,82.28,1018.3,82.28
50000,SBB Ascending Prices,1:1:1,4,2.0,1.51,75.42,1726.07,1512.05,87.6,1512.05,87.6
50000,SBB Ascending Prices,1:1:1,5,2.5,2.01,80.42,2224.42,2015.98,90.63,2015.98,90.63
50000,SBB Ascending Prices,1:1:1,10,5.01,4.52,90.24,4717.15,4520.48,95.83,4520.48,95.83
50000,SBB Ascending Prices,1:1:1,15,7.51,7.02,93.42,7215.74,7021.06,97.3,7021.06,97.3
50000,SBB Ascending Prices,1:1:1,25,12.52,12.02,96.01,12224.73,12031.28,98.42,12031.28,98.42
50000,SBB Ascending Prices,1:1:1,50,25.02,24.52,98.0,24728.78,24538.19,99.23,24538.19,99.23
50000,SBB Ascending Prices,1:1:1,100,50.02,49.52,99.0,49759.95,49571.18,99.62,49571.18,99.62
50000,SBB Ascending Prices,1:1:1,500,250.23,249.73,99.8,250176.33,249988.33,99.92,249988.33,99.92
50000,SBB Ascending Prices,1:1:1,1000,500.37,499.87,99.89,500608.68,500419.48,99.96,500419.48,99.96
50000,SBB Ascending Prices,1:1:1:1:1,2,1.0,0.54,53.97,1470.45,1098.34,74.69,1098.34,74.69
50000,SBB Ascending Prices,1:1:1:1:1,3,1.5,1.03,68.37,2430.14,2054.74,84.55,2054.74,84.55
50000,SBB Ascending Prices,1:1:1:1:1,4,2.0,1.52,76.01,3407.82,3047.38,89.42,3047.38,89.42
50000,SBB Ascending Prices,1:1:1:1:1,5,2.5,2.02,80.68,4395.65,4038.79,91.88,4038.79,91.88
50000,SBB Ascending Prices,1:1:1:1:1,10,5.01,4.51,90.13,9378.53,9041.55,96.41,9041.55,96.41
50000,SBB Ascending Prices,1:1:1:1:1,15,7.51,7.01,93.42,14372.51,14043.17,97.71,14043.17,97.71
50000,SBB Ascending Prices,1:1:1:1:1,25,12.51,12.02,96.03,24385.56,24064.47,98.68,24064.47,98.68
50000,SBB Ascending Prices,1:1:1:1:1,50,25.02,24.53,98.0,49413.36,49095.63,99.36,49095.63,99.36
50000,SBB Ascending Prices,1:1:1:1:1,100,50.03,49.53,98.99,99458.56,99139.86,99.68,99139.86,99.68
50000,SBB Ascending Prices,1:1:1:1:1,500,250.17,249.67,99.8,500097.16,499782.69,99.94,499782.69,99.94
50000,SBB Ascending Prices,1:1:1:1:1,1000,500.35,499.85,99.89,1001157.6,1000843.73,99.97,1000843.73,99.97
50000,SBB Ascending Prices,1:1:1:1:1:1:1:1:1,2,1.0,0.55,54.72,2914.29,2242.94,76.96,2242.94,76.96
50000,SBB Ascending Prices,1:1:1:1:1:1:1:1:1,3,1.5,1.03,68.78,4823.54,4140.24,85.83,4140.24,85.83
50000,SBB Ascending Prices,1:1:1:1:1:1:1:1:1,4,2.0,1.52,76.13,6751.25,6088.57,90.18,6088.57,90.18
50000,SBB Ascending Prices,1:1:1:1:1:1:1:1:1,5,2.5,2.02,80.85,8746.26,8100.58,92.62,8100.58,92.62
50000,SBB Ascending Prices,1:1:1:1:1:1:1:1:1,10,5.0,4.51,90.21,18687.12,18077.66,96.74,18077.66,96.74
50000,SBB Ascending Prices,1:1:1:1:1:1:1:1:1,15,7.5,7.01,93.36,28649.06,28046.67,97.9,28046.67,97.9
50000,SBB Ascending Prices,1:1:1:1:1:1:1:1:1,25,12.51,12.02,96.04,48693.56,48114.68,98.81,48114.68,98.81
50000,SBB Ascending Prices,1:1:1:1:1:1:1:1:1,50,25.02,24.52,98.0,98775.6,98200.13,99.42,98200.13,99.42
50000,SBB Ascending Prices,1:1:1:1:1:1:1:1:1,100,50.02,49.51,98.99,198782.87,198211.86,99.71,198211.86,99.71
50000,SBB Ascending Prices,1:1:1:1:1:1:1:1:1,500,250.17,249.67,99.8,1000316.71,999751.34,99.94,999751.34,99.94
50000,SBB Ascending Prices,1:1:1:1:1:1:1:1:1,1000,500.29,499.79,99.9,2001810.72,2001247.21,99.97,2001247.21,99.97
50000,SBB Ascending Prices,1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1,2,1.0,0.55,54.96,5780.67,4503.61,77.91,4503.61,77.91
